ts_utc,source,universe,event_id,title,event_date,market_count,outcomes,is_binary_candidate,skip_binary_arb,reason
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-par-aus-2026-06-25,Paraguay vs. Australia,2026-06-25,3,Will Australia win on 2026-06-25? | Will Paraguay win on 2026-06-25? | Will Paraguay vs. Australia end in a draw?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-tur-usa-2026-06-25,Türkiye vs. United States,2026-06-25,3,Will Türkiye vs. United States end in a draw? | Will Türkiye win on 2026-06-25? | Will United States win on 2026-06-25?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-nor-fra-2026-06-26,Norway vs. France,2026-06-26,3,Will Norway win on 2026-06-26? | Will Norway vs. France end in a draw? | Will France win on 2026-06-26?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-ury-esp-2026-06-26,Uruguay vs. Spain,2026-06-26,3,Will Uruguay win on 2026-06-26? | Will Spain win on 2026-06-26? | Will Uruguay vs. Spain end in a draw?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-cdr-uzb-2026-06-27,DR Congo vs. Uzbekistan,2026-06-27,3,Will DR Congo vs. Uzbekistan end in a draw? | Will DR Congo win on 2026-06-27? | Will Uzbekistan win on 2026-06-27?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-col-prt-2026-06-27,Colombia vs. Portugal,2026-06-27,3,Will Colombia vs. Portugal end in a draw? | Will Colombia win on 2026-06-27? | Will Portugal win on 2026-06-27?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-hrv-gha-2026-06-27,Croatia vs. Ghana,2026-06-27,3,Will Croatia win on 2026-06-27? | Will Croatia vs. Ghana end in a draw? | Will Ghana win on 2026-06-27?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,polymarket,worldcup_soccer,fifwc-jor-arg-2026-06-27,Jordan vs. Argentina,2026-06-27,3,Will Jordan vs. Argentina end in a draw? | Will Argentina win on 2026-06-27? | Will Jordan win on 2026-06-27?,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN15BELEGY,Belgium vs Egypt,,3,Tie | Egypt | Belgium,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
2026-06-15T07:41:28.526034+00:00,kalshi,worldcup_soccer,KXWCGAME-26JUN15ESPCPV,Spain vs Cape Verde,,3,Tie | Spain | Cape Verde,False,True,3-way market includes Tie/draw; binary Yes/No arb formula does not apply.
